id_Cliente;CNPJ;Nome_Empresa;Segmento;UF;Cidade;Data_Cadastro;Status_Ativo;;
805;643-61-5861;Yodoo;Serviços;MA;San Isidro;03/07/2011;Inativo;;
743;679-30-1893;Topdrive;Varejo;RJ;Tajumulco;25/08/2011;Inativo;;
347;355-87-5433;Yoveo;Industria;RR;Río Pico;05/03/2015;Inativo;;
544;162-92-6055;Zoozzy;Serviços;AM;Szelków;18/03/2019;Ativo;;
759;697-27-4652;Yoveo;Serviços;RR;Ribeiro;24/02/2013;Inativo;;
29;875-10-4233;Photolist;Industria;GO;Wenfu;13/12/2010;Inativo;;
348;730-23-0749;Camimbo;Serviços;MA;Kayanza;14/05/2015;Inativo;;
779;827-01-1774;Voolia;Industria;MS;Changlong;30/08/2019;Inativo;;
44;470-61-6973;Quire;Varejo;MG;Profítis Ilías;01/06/2017;Inativo;;
888;108-96-7304;Babbleblab;Varejo;MG;Soly;02/06/2012;Inativo;;
223;737-87-8407;Aivee;Serviços;MG;Norrköping;16/09/2020;Inativo;;
887;831-89-9155;Twimm;Industria;MA;Ureshino;30/03/2021;Ativo;;
763;616-51-3264;Quatz;Industria;PR;Lagoaça;23/08/2017;Inativo;;
118;389-39-2981;Meetz;Varejo;RN;Argelia;24/03/2009;Ativo;;
267;379-05-5146;Leexo;Serviços;PR;Jämsänkoski;09/09/2023;Ativo;;
925;824-11-7295;Chatterpoint;Varejo;GO;Logung;06/02/2024;Inativo;;
271;376-45-3235;Realblab;Serviços;SE;Abéché;27/11/2010;Inativo;;
906;276-12-5152;Yakitri;Industria;PA;Jatobá;17/01/2025;Inativo;;
957;559-82-3119;Podcat;Industria;SC;Saribudolok;25/04/2011;Inativo;;
125;454-31-4481;Tazz;Serviços;MS;Yafan;03/08/2024;Ativo;;
443;542-51-2100;Oyope;Industria;MT;Sar-e Pul;31/10/2013;Inativo;;
608;608-21-4377;Avavee;Varejo;MT;Ménaka;09/01/2010;Ativo;;
832;586-35-1023;Dynazzy;Serviços;RN;Ilihan;03/07/2024;Ativo;;
112;812-48-2996;Flashdog;Industria;MT;Kasingan;24/02/2015;Ativo;;
97;527-31-7467;Mycat;Serviços;MT;Maluko;19/03/2018;Inativo;;
617;196-37-5667;Kamba;Serviços;RN;Lugang;27/10/2008;Inativo;;
957;502-11-0699;Voonix;Serviços;SC;Agra;14/06/2022;Ativo;;
537;295-33-9169;Thoughtblab;Varejo;MS;Pico da Pedra;07/11/2023;Ativo;;
946;225-08-0704;Yodel;Industria;MT;Tanūmah;29/07/2007;Ativo;;
536;524-43-3497;Flashspan;Industria;RR;Mandráki;17/08/2019;Ativo;;
859;561-54-4593;Gabtune;Industria;RN;Yuquan;13/04/2008;Inativo;;
429;727-53-2999;Fatz;Industria;AM;Bohorodchany;25/06/2014;Ativo;;
333;191-37-4915;Zoozzy;Industria;MS;Tanjung Palas;28/03/2008;Ativo;;
452;805-38-5917;Photobug;Serviços;RN;Rio Claro;27/04/2008;Ativo;;
201;246-58-7828;Trilia;Varejo;RJ;Qingchuan;08/05/2022;Ativo;;
140;815-41-7690;Pixope;Serviços;MT;Biankouma;22/08/2013;Inativo;;
735;460-72-6369;Twiyo;Varejo;PR;Santo António da Charneca;07/04/2008;Ativo;;
405;741-82-6832;Feedfire;Varejo;AM;Babakan;20/10/2016;Inativo;;
809;107-82-6638;Yakijo;Serviços;PR;Argivai;07/07/2024;Ativo;;
16;268-31-0706;Wordify;Serviços;SE;Strömsund;21/01/2007;Inativo;;
121;737-67-1399;Youbridge;Varejo;SE;Touho;10/10/2008;Ativo;;
747;771-81-1998;Babbleset;Industria;AM;Paris 16;11/10/2014;Inativo;;
582;729-16-3093;Meevee;Serviços;MA;Mugala;24/11/2007;Ativo;;
579;466-18-7328;Tagchat;Varejo;RN;Tékane;25/09/2025;Ativo;;
